"YEAR","GENDER","NUM_CASES"
"1674","UNKNOWN","2"
"1676","UNKNOWN","1"
"1678","UNKNOWN","3"
"1679","UNKNOWN","1"
"1680","UNKNOWN","1"
"1681","FEMALE","1"
"1682","FEMALE","1"
"1682","UNKNOWN","1"
"1683","UNKNOWN","27"
"1684","MALE","1"
"1684","UNKNOWN","26"
"1685","UNKNOWN","41"
"1686","MALE","1"
"1686","UNKNOWN","21"
"1687","UNKNOWN","20"
"1688","UNKNOWN","13"
"1689","MALE","1"
"1689","UNKNOWN","20"
"1690","FEMALE","1"
"1690","MALE","1"
"1690","UNKNOWN","17"
"1691","UNKNOWN","15"
"1692","UNKNOWN","8"
"1693","UNKNOWN","3"
"1694","FEMALE","1"
"1694","UNKNOWN","11"
"1695","UNKNOWN","4"
"1696","UNKNOWN","4"
"1697","UNKNOWN","10"
"1698","UNKNOWN","9"
"1699","UNKNOWN","3"
"1700","UNKNOWN","6"
"1718","UNKNOWN","130"
"1719","MALE","2"
"1719","UNKNOWN","163"
"1720","UNKNOWN","169"
"1721","UNKNOWN","198"
"1722","FEMALE","4"
"1722","UNKNOWN","183"
"1723","UNKNOWN","205"
"1724","UNKNOWN","275"
"1725","UNKNOWN","319"
"1726","UNKNOWN","227"
"1727","UNKNOWN","206"
"1728","UNKNOWN","216"
"1729","MALE","2"
"1729","UNKNOWN","247"
"1730","FEMALE","1"
"1730","UNKNOWN","240"
"1731","FEMALE","2"
"1731","MALE","2"
"1731","UNKNOWN","224"
"1732","UNKNOWN","194"
"1733","FEMALE","2"
"1733","UNKNOWN","207"
"1734","MALE","2"
"1734","UNKNOWN","183"
"1735","UNKNOWN","210"
"1736","UNKNOWN","248"
"1737","UNKNOWN","213"
"1738","UNKNOWN","185"
"1739","UNKNOWN","206"
"1740","UNKNOWN","221"
"1741","UNKNOWN","250"
"1742","UNKNOWN","157"
"1743","MALE","1"
"1743","UNKNOWN","199"
"1744","UNKNOWN","161"
"1745","UNKNOWN","127"
"1746","UNKNOWN","160"
"1747","UNKNOWN","121"
"1748","MALE","2"
"1748","UNKNOWN","197"
"1749","UNKNOWN","247"
"1750","FEMALE","1"
"1750","MALE","2"
"1750","UNKNOWN","215"
"1751","MALE","2"
"1751","UNKNOWN","182"
"1752","FEMALE","2"
"1752","MALE","3"
"1752","UNKNOWN","202"
"1753","FEMALE","2"
"1753","UNKNOWN","213"
"1754","UNKNOWN","218"
"1755","UNKNOWN","178"
"1756","UNKNOWN","166"
"1757","MALE","1"
"1757","UNKNOWN","176"
"1758","UNKNOWN","138"
"1759","FEMALE","1"
"1759","MALE","3"
"1759","UNKNOWN","136"
"1760","MALE","2"
"1760","UNKNOWN","134"
"1761","MALE","1"
"1761","UNKNOWN","153"
"1762","FEMALE","3"
"1762","MALE","1"
"1762","UNKNOWN","117"
"1763","FEMALE","4"
"1763","UNKNOWN","212"
"1764","FEMALE","3"
"1764","MALE","7"
"1764","UNKNOWN","271"
"1765","FEMALE","1"
"1765","MALE","4"
"1765","UNKNOWN","229"
"1766","MALE","7"
"1766","UNKNOWN","216"
"1767","MALE","9"
"1767","UNKNOWN","264"
"1768","FEMALE","1"
"1768","MALE","16"
"1768","UNKNOWN","203"
"1769","FEMALE","4"
"1769","MALE","19"
"1769","UNKNOWN","189"
"1770","MALE","6"
"1770","UNKNOWN","224"
"1771","FEMALE","2"
"1771","MALE","3"
"1771","UNKNOWN","302"
"1772","MALE","4"
"1772","UNKNOWN","266"
"1773","MALE","9"
"1773","UNKNOWN","272"
"1774","FEMALE","1"
"1774","MALE","4"
"1774","UNKNOWN","259"
"1775","FEMALE","3"
"1775","MALE","2"
"1775","UNKNOWN","196"
"1776","UNKNOWN","7"
"1781","UNKNOWN","1"
"1782","UNKNOWN","55"
"1783","MALE","6"
"1783","UNKNOWN","162"
"1784","FEMALE","1"
"1784","MALE","7"
"1784","UNKNOWN","214"
"1785","MALE","8"
"1785","UNKNOWN","222"
"1786","MALE","2"
"1786","UNKNOWN","291"
"1787","FEMALE","3"
"1787","MALE","8"
"1787","UNKNOWN","316"
"1788","FEMALE","2"
"1788","MALE","13"
"1788","UNKNOWN","265"
"1789","FEMALE","1"
"1789","MALE","10"
"1789","UNKNOWN","257"
"1790","FEMALE","9"
"1790","MALE","50"
"1790","UNKNOWN","191"
"1791","FEMALE","17"
"1791","MALE","86"
"1791","UNKNOWN","121"
"1792","FEMALE","13"
"1792","MALE","123"
"1792","UNKNOWN","113"
"1793","FEMALE","51"
"1793","MALE","151"
"1793","UNKNOWN","21"
"1794","FEMALE","27"
"1794","MALE","102"
"1794","UNKNOWN","15"
"1795","FEMALE","48"
"1795","MALE","98"
"1795","UNKNOWN","15"
"1796","FEMALE","35"
"1796","MALE","123"
"1796","UNKNOWN","18"
"1797","FEMALE","27"
"1797","MALE","111"
"1797","UNKNOWN","27"
"1798","FEMALE","25"
"1798","MALE","121"
"1798","UNKNOWN","22"
"1799","FEMALE","30"
"1799","MALE","103"
"1799","UNKNOWN","20"
"1800","FEMALE","38"
"1800","MALE","177"
"1800","UNKNOWN","32"
"1801","FEMALE","49"
"1801","MALE","209"
"1801","UNKNOWN","20"
"1802","FEMALE","40"
"1802","MALE","274"
"1802","UNKNOWN","26"
"1803","FEMALE","45"
"1803","MALE","205"
"1803","UNKNOWN","21"
"1804","FEMALE","26"
"1804","MALE","103"
"1804","UNKNOWN","19"
"1805","FEMALE","86"
"1805","MALE","176"
"1805","UNKNOWN","23"
"1806","FEMALE","68"
"1806","MALE","178"
"1806","UNKNOWN","7"
"1807","FEMALE","70"
"1807","MALE","147"
"1807","UNKNOWN","9"
"1808","FEMALE","59"
"1808","MALE","156"
"1808","UNKNOWN","4"
"1809","FEMALE","64"
"1809","MALE","188"
"1809","UNKNOWN","15"
"1810","FEMALE","61"
"1810","MALE","257"
"1810","UNKNOWN","14"
"1811","FEMALE","88"
"1811","MALE","186"
"1811","UNKNOWN","17"
"1812","FEMALE","73"
"1812","MALE","199"
"1812","UNKNOWN","18"
"1813","FEMALE","66"
"1813","MALE","263"
"1813","UNKNOWN","30"
"1814","FEMALE","65"
"1814","MALE","287"
"1814","UNKNOWN","16"
"1815","FEMALE","60"
"1815","MALE","363"
"1815","UNKNOWN","30"
"1816","FEMALE","71"
"1816","MALE","331"
"1816","UNKNOWN","16"
"1817","FEMALE","76"
"1817","MALE","639"
"1817","UNKNOWN","13"
"1818","FEMALE","108"
"1818","MALE","901"
"1818","UNKNOWN","21"
"1819","FEMALE","111"
"1819","MALE","787"
"1819","UNKNOWN","20"
"1820","FEMALE","99"
"1820","MALE","721"
"1820","UNKNOWN","18"
"1821","FEMALE","93"
"1821","MALE","642"
"1821","UNKNOWN","11"
"1822","FEMALE","82"
"1822","MALE","416"
"1822","UNKNOWN","16"
"1823","FEMALE","84"
"1823","MALE","466"
"1823","UNKNOWN","10"
"1824","FEMALE","73"
"1824","MALE","563"
"1824","UNKNOWN","18"
"1825","FEMALE","132"
"1825","MALE","565"
"1825","UNKNOWN","13"
"1826","FEMALE","170"
"1826","MALE","868"
"1826","UNKNOWN","18"
"1827","FEMALE","197"
"1827","MALE","801"
"1827","UNKNOWN","18"
"1828","FEMALE","241"
"1828","MALE","932"
"1828","UNKNOWN","13"
"1829","FEMALE","315"
"1829","MALE","1145"
"1829","UNKNOWN","16"
"1830","FEMALE","293"
"1830","MALE","966"
"1830","UNKNOWN","20"
"1831","FEMALE","200"
"1831","MALE","787"
"1831","UNKNOWN","16"
"1832","FEMALE","273"
"1832","MALE","1129"
"1832","UNKNOWN","22"
"1833","FEMALE","133"
"1833","MALE","704"
"1833","UNKNOWN","20"
"1834","FEMALE","150"
"1834","MALE","762"
"1834","UNKNOWN","138"
"1835","UNKNOWN","737"
"1836","UNKNOWN","814"
"1837","UNKNOWN","782"
"1838","UNKNOWN","793"
"1839","UNKNOWN","778"
"1840","UNKNOWN","792"
"1841","UNKNOWN","657"
"1842","UNKNOWN","617"
"1843","UNKNOWN","614"
"1844","UNKNOWN","427"
"1845","UNKNOWN","404"
"1846","UNKNOWN","378"
"1847","UNKNOWN","440"
"1848","UNKNOWN","493"
"1849","UNKNOWN","376"
"1850","UNKNOWN","337"
"1851","UNKNOWN","292"
"1852","UNKNOWN","152"
"1853","UNKNOWN","137"
"1854","UNKNOWN","23"
"1855","UNKNOWN","25"
"1856","UNKNOWN","40"
"1857","UNKNOWN","21"
"1858","UNKNOWN","1"
"1895","UNKNOWN","1"
