OFFENCE_CAT,OFFENCE_SUBCAT,COUNT(A.OFFENCE_SUBCAT),,,Offense,Sub Category,No.,%,,Sub Category,No.,%,,SubCat,gender,number,,Crime Category,No.,%,,Crime Category,No.,%,,,
breakingPeace,animalTheft,1,,,breakingPeace,animalTheft,1,0.00%,,animalTheft,16899,23.01%,,animalTheft,female,2537,,illegalAbortion,2,1.13%,,manslaughter,67,38.29%,,,
breakingPeace,assault,20,,,,assault,20,0.03%,,arson,15,0.02%,,animalTheft,male,13616,,manslaughter,67,37.85%,,murder,108,61.71%,,,
breakingPeace,burglary,2,,,,burglary,2,0.00%,,assault,20,0.03%,,animalTheft,unknown,746,,murder,108,61.02%,,,,,,,
breakingPeace,simpleLarceny,1,,,,simpleLarceny,1,0.00%,,bigamy,386,0.53%,,arson,male,1,,,,,,,,,,,
breakingPeace,threateningBehaviour,2,,,,threateningBehaviour,2,0.00%,,burglary,5806,7.90%,,arson,unknown,14,,,,,,,,,,,
breakingPeace,vagabond,1,,,,vagabond,1,0.00%,,coiningOffences,2112,2.88%,,assault,male,1,,,,,,,,,,,
breakingPeace,wounding,106,,,,wounding,106,0.14%,,conspiracy,21,0.03%,,assault,unknown,19,,Crime,Male Num,Male %,Female Num,Female %,Unknown Num,Unknown %,,,
damage,arson,15,,,damage,arson,15,0.02%,,embezzlement,3440,4.68%,,bigamy,female,73,,murder,53,54%,15,65%,40,75%,,,
damage,fraud,3,,,,fraud,3,0.00%,,extortion,46,0.06%,,bigamy,male,278,,manslaughter,46,46%,8,35%,13,25%,,,
damage,grandLarceny,30,,,,grandLarceny,30,0.04%,,forgery,480,0.65%,,bigamy,unknown,35,,,,,,,,,,,
damage,other,18,,,,other,18,0.02%,,fraud,727,0.99%,,burglary,female,502,,,,,,,,,,,
deception,animalTheft,4689,,,deception,animalTheft,4689,6.38%,,gameLawOffence,5,0.01%,,burglary,male,3629,,,,,,,,,,,
deception,bigamy,1,,,,bigamy,1,0.00%,,grandLarceny,19799,26.96%,,burglary,unknown,1675,,Unknown Case #,Gender,Crime,,,Crime,Male Num,Male %,Female Num,Female %
deception,burglary,248,,,,burglary,248,0.34%,,highwayRobbery,521,0.71%,,coiningOffences,female,266,,t16830418-7,Male,manslaughter,,,murder,74,47%,20,65%
deception,coiningOffences,88,,,,coiningOffences,88,0.12%,,housebreaking,2573,3.50%,,coiningOffences,male,1633,,t17281204-13,Male,manslaughter,,,manslaughter,83,53%,11,35%
deception,embezzlement,128,,,,embezzlement,128,0.17%,,illegalAbortion,2,0.00%,,coiningOffences,unknown,213,,t17430223-28,Male,manslaughter,,,,,,,
deception,forgery,480,,,,forgery,480,0.65%,,kidnapping,118,0.16%,,conspiracy,male,18,,t17550702-16,Male,manslaughter,,,Crime,Male Num,Female Num,,
deception,fraud,724,,,,fraud,724,0.99%,,mail,85,0.12%,,conspiracy,unknown,3,,t18341124-189a,2 Male / 3 Female,murder,,,murder,21,5,,
deception,grandLarceny,95,,,,grandLarceny,95,0.13%,,manslaughter,67,0.09%,,embezzlement,female,585,,t18350202-585,Female,manslaughter,,,manslaughter,37,3,,
deception,other,3,,,,other,3,0.00%,,murder,108,0.15%,,embezzlement,male,2704,,t18350615-1463,Male,manslaughter,,,,,,,
deception,perjury,82,,,,perjury,82,0.11%,,other,723,0.98%,,embezzlement,unknown,151,,t18360201-485,Male,manslaughter,,,,,,,
kill,animalTheft,1667,,,kill,animalTheft,1667,2.27%,,perjury,82,0.11%,,extortion,male,19,,t18370130-594,Male,manslaughter,,,,,,,
kill,bigamy,4,,,,bigamy,4,0.01%,,pervertingJustice,32,0.04%,,extortion,unknown,27,,t18370403-917,1 Male / 1 Female,murder,,,,,,,
kill,grandLarceny,175,,,,grandLarceny,175,0.24%,,pettyLarceny,367,0.50%,,forgery,female,22,,t18370918-2163,Male,murder,,,,,,,
kill,manslaughter,67,,,,manslaughter,67,0.09%,,piracy,1,0.00%,,forgery,male,237,,t18380101-386,Male,manslaughter,,,,,,,
kill,murder,108,,,,murder,108,0.15%,,pocketpicking,8025,10.93%,,forgery,unknown,221,,t18380129-652,2 Male,manslaughter,,,,,,,
kill,other,3,,,,other,3,0.00%,,rape,48,0.07%,,fraud,female,66,,t18380402-1089,Male,manslaughter,,,,,,,
miscellaneous,animalTheft,1078,,,miscellaneous,animalTheft,1078,1.47%,,receiving,1108,1.51%,,fraud,male,472,,t18380820-1794,Male,murder,,,,,,,
miscellaneous,burglary,1060,,,,burglary,1060,1.44%,,returnFromTransportation,30,0.04%,,fraud,unknown,189,,t18381126-90,1 Male / 1 Female,murder / manslaughter,,,,,,,
miscellaneous,coiningOffences,1196,,,,coiningOffences,1196,1.63%,,robbery,424,0.58%,,gameLawOffence,male,1,,t18390812-2237,Male,manslaughter,,,,,,,
miscellaneous,conspiracy,21,,,,conspiracy,21,0.03%,,seditiousLibel,1,0.00%,,gameLawOffence,unknown,4,,t18391021-2937,4 Male,2 murder / 2 manslaughter,,,,,,,
miscellaneous,embezzlement,1,,,,embezzlement,1,0.00%,,shoplifting,925,1.26%,,grandLarceny,female,2179,,t18411025-2794,Male,manslaughter,,,,,,,
miscellaneous,grandLarceny,113,,,,grandLarceny,113,0.15%,,simpleLarceny,4624,6.30%,,grandLarceny,male,11315,,t18420228-901,Male,manslaughter,,,,,,,
miscellaneous,housebreaking,1,,,,housebreaking,1,0.00%,,sodomy,1,0.00%,,grandLarceny,unknown,6305,,t18430821-2237,Male,murder,,,,,,,
miscellaneous,illegalAbortion,2,,,,illegalAbortion,2,0.00%,,stealingFromMaster,530,0.72%,,highwayRobbery,female,35,,t18450818-1742,Male,murder,,,,,,,
miscellaneous,kidnapping,118,,,,kidnapping,118,0.16%,,taxOffences,9,0.01%,,highwayRobbery,male,224,,t18460223-685,Male,manslaughter,,,,,,,
miscellaneous,other,102,,,,other,102,0.14%,,theftFromPlace,3179,4.33%,,highwayRobbery,unknown,262,,t18460615-1238,Male,manslaughter,,,,,,,
miscellaneous,pervertingJustice,32,,,,pervertingJustice,32,0.04%,,threateningBehaviour,2,0.00%,,housebreaking,female,361,,t18461026-2032,Female,manslaughter,,,,,,,
miscellaneous,piracy,1,,,,piracy,1,0.00%,,treason,3,0.00%,,housebreaking,male,1766,,t18470405-945,Male,manslaughter,,,,,,,
miscellaneous,pocketpicking,16,,,,pocketpicking,16,0.02%,,vagabond,1,0.00%,,housebreaking,unknown,446,,t18470614-1388,Male,manslaughter,,,,,,,
miscellaneous,receiving,2,,,,receiving,2,0.00%,,wounding,106,0.14%,,illegalAbortion,unknown,2,,t18470614-1389,Male,manslaughter,,,,,,,
miscellaneous,returnFromTransportation,30,,,,returnFromTransportation,30,0.04%,,Total,73451,100.00%,,kidnapping,female,35,,t18480612-1529,Male,murder,,,,,,,
royalOffences,animalTheft,278,,,royalOffences,animalTheft,278,0.38%,,,,,,kidnapping,male,74,,t18481218-314,Male,murder,,,,,,,
royalOffences,burglary,43,,,,burglary,43,0.06%,,,,,,kidnapping,unknown,9,,t18490409-1047,Male,manslaughter,,,,,,,
royalOffences,coiningOffences,828,,,,coiningOffences,828,1.13%,,,,,,mail,unknown,85,,t18490820-1556,Female,murder,,,,,,,
royalOffences,grandLarceny,3,,,,grandLarceny,3,0.00%,,,,,,manslaughter,female,8,,t18490820-1603,Male,manslaughter,,,,,,,
royalOffences,mail,1,,,,mail,1,0.00%,,,,,,manslaughter,male,46,,t18490917-1734,Male,murder,,,,,,,
royalOffences,pocketpicking,8,,,,pocketpicking,8,0.01%,,,,,,manslaughter,unknown,13,,t18491029-2009,Male,murder,,,,,,,
royalOffences,seditiousLibel,1,,,,seditiousLibel,1,0.00%,,,,,,murder,female,15,,t18491217-210,Male,murder,,,,,,,
royalOffences,taxOffences,9,,,,taxOffences,9,0.01%,,,,,,murder,male,53,,t18491217-225,Male,murder,,,,,,,
royalOffences,treason,3,,,,treason,3,0.00%,,,,,,murder,unknown,40,,t18500107-366,2 Male,murder,,,,,,,
sexual,animalTheft,1534,,,sexual,animalTheft,1534,2.09%,,,,,,other,female,22,,t18500304-667,2 Male,murder,,,,,,,
sexual,bigamy,381,,,,bigamy,381,0.52%,,,,,,other,male,73,,t18500408-714,Male,manslaughter,,,,,,,
sexual,grandLarceny,7,,,,grandLarceny,7,0.01%,,,,,,other,unknown,628,,t18500506-922,Male,manslaughter,,,,,,,
sexual,other,2,,,,other,2,0.00%,,,,,,perjury,female,2,,t18510203-503,Male,manslaughter,,,,,,,
sexual,rape,48,,,,rape,48,0.07%,,,,,,perjury,male,28,,t18510512-1108,Male,manslaughter,,,,,,,
sexual,sodomy,1,,,,sodomy,1,0.00%,,,,,,perjury,unknown,52,,t18510616-1422,2 Male,manslaughter,,,,,,,
theft,animalTheft,7652,,,theft,animalTheft,7652,10.42%,,,,,,pervertingJustice,female,5,,t18510707-1534,Male,manslaughter,,,,,,,
theft,burglary,4453,,,,burglary,4453,6.06%,,,,,,pervertingJustice,male,4,,t18520105-190,Male,manslaughter,,,,,,,
theft,embezzlement,3311,,,,embezzlement,3311,4.51%,,,,,,pervertingJustice,unknown,23,,t18521025-1043,Male,manslaughter,,,,,,,
theft,extortion,46,,,,extortion,46,0.06%,,,,,,pettyLarceny,female,1,,t18530131-293,Male,manslaughter,,,,,,,
theft,gameLawOffence,5,,,,gameLawOffence,5,0.01%,,,,,,pettyLarceny,male,32,,t18530613-724,Male,murder,,,,,,,
theft,grandLarceny,19376,,,,grandLarceny,19376,26.38%,,,,,,pettyLarceny,unknown,334,,t18531024-1107,Male,manslaughter,,,,,,,
theft,highwayRobbery,133,,,,highwayRobbery,133,0.18%,,,,,,piracy,unknown,1,,t18540703-842,Female,manslaughter,,,,,,,
theft,housebreaking,2572,,,,housebreaking,2572,3.50%,,,,,,pocketpicking,female,1675,,t18550702-699,Male,manslaughter,,,,,,,
theft,mail,84,,,,mail,84,0.11%,,,,,,pocketpicking,male,5333,,t18550917-876,Male,manslaughter,,,,,,,
theft,other,594,,,,other,594,0.81%,,,,,,pocketpicking,unknown,1017,,,,,,,,,,,
theft,pettyLarceny,367,,,,pettyLarceny,367,0.50%,,,,,,rape,unknown,48,,,,,,,,,,,
theft,pocketpicking,8001,,,,pocketpicking,8001,10.89%,,,,,,receiving,female,146,,,,,,,,,,,
theft,receiving,1106,,,,receiving,1106,1.51%,,,,,,receiving,male,546,,,,,,,,,,,
theft,robbery,93,,,,robbery,93,0.13%,,,,,,receiving,unknown,416,,,,,,,,,,,
theft,shoplifting,925,,,,shoplifting,925,1.26%,,,,,,returnFromTransportation,unknown,30,,,,,,,,,,,
theft,simpleLarceny,4623,,,,simpleLarceny,4623,6.29%,,,,,,robbery,female,54,,,,,,,,,,,
theft,stealingFromMaster,530,,,,stealingFromMaster,530,0.72%,,,,,,robbery,male,133,,,,,,,,,,,
theft,theftFromPlace,3179,,,,theftFromPlace,3179,4.33%,,,,,,robbery,unknown,237,,,,,,,,,,,
violentTheft,highwayRobbery,388,,,violentTheft,highwayRobbery,388,0.53%,,,,,,seditiousLibel,unknown,1,,,,,,,,,,,
violentTheft,other,1,,,,other,1,0.00%,,,,,,shoplifting,female,154,,,,,,,,,,,
violentTheft,robbery,331,,,,robbery,331,0.45%,,,,,,shoplifting,male,157,,,,,,,,,,,
,,,,,Total,,73451,100.00%,,,,,,shoplifting,unknown,614,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,female,818,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,male,3385,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,unknown,421,,,,,,,,,,,
,,,,,,,,,,,,,,sodomy,unknown,1,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,female,96,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,male,225,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,unknown,209,,,,,,,,,,,
,,,,,,,,,,,,,,taxOffences,male,2,,,,,,,,,,,
,,,,,,,,,,,,,,taxOffences,unknown,7,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,female,293,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,male,1248,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,unknown,1638,,,,,,,,,,,
,,,,,,,,,,,,,,threateningBehaviour,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,threateningBehaviour,unknown,1,,,,,,,,,,,
,,,,,,,,,,,,,,treason,unknown,3,,,,,,,,,,,
,,,,,,,,,,,,,,vagabond,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,wounding,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,wounding,unknown,105,,,,,,,,,,,